Date,Price
2/6/2017,1278.28
5/6/2017,1280.69
6/6/2017,1295.28
7/6/2017,1293.47
8/6/2017,1276.28
9/6/2017,1266.31
12/6/2017,1265.58
13/6/2017,1263.72
14/6/2017,1276.55
15/6/2017,1254.78
16/6/2017,1255.59
19/6/2017,1248.82
20/6/2017,1242.84
21/6/2017,1246.4
22/6/2017,1250.86
23/6/2017,1256.37
26/6/2017,1244.72
27/6/2017,1247.41
28/6/2017,1250.19
29/6/2017,1243.92
30/6/2017,1243.47
3/7/2017,1222.73
4/7/2017,1223.23
5/7/2017,1221.69
6/7/2017,1223.56
7/7/2017,1210.29
10/7/2017,1212.9
11/7/2017,1210.74
12/7/2017,1221.89
13/7/2017,1218.07
14/7/2017,1227.67
17/7/2017,1233.65
18/7/2017,1242.01
19/7/2017,1242.22
20/7/2017,1246.09
21/7/2017,1251.66
24/7/2017,1255.77
25/7/2017,1250.58
26/7/2017,1248.2
27/7/2017,1259.36
28/7/2017,1267.82
31/7/2017,1268.85
1/8/2017,1272.47
2/8/2017,1270.23
3/8/2017,1268.94
4/8/2017,1257.75
7/8/2017,1258.57
8/8/2017,1254.38
9/8/2017,1272.85
10/8/2017,1285.7
11/8/2017,1287.38
14/8/2017,1284.33
15/8/2017,1271.19
16/8/2017,1274.26
17/8/2017,1284.53
18/8/2017,1295.8
21/8/2017,1291.7
22/8/2017,1287.32
23/8/2017,1289.3
24/8/2017,1287.34
25/8/2017,1292.94
28/8/2017,1307.24
29/8/2017,1317.06
30/8/2017,1308.73
31/8/2017,1316.02
1/9/2017,1321.86
4/9/2017,1335.69
5/9/2017,1336.54
6/9/2017,1340.82
7/9/2017,1347.38
8/9/2017,1345.93
11/9/2017,1335.27
12/9/2017,1326.59
13/9/2017,1323.07
14/9/2017,1325.17
